Player,Nation,Pos,Squad,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,33-125,1991,26.0,258,390,66.2,3525,784,158,224,70.5,68,100,68.0,13,19,68.4,3,1.9,1.1,+1.1,15,14,8,1,33,Matches
Nathan Wood-Gordon,eng ENG,DF,Southampton,22-315,2002,6.9,363,391,92.8,6144,1494,153,162,94.4,190,197,96.4,16,23,69.6,0,0.0,0.0,0.0,1,11,0,0,17,Matches
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-172,1998,11.2,437,497,87.9,8028,2692,162,168,96.4,237,253,93.7,34,65,52.3,0,0.0,0.0,0.0,0,27,0,0,15,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-041,2004,10.5,428,502,85.3,7310,1687,216,249,86.7,158,180,87.8,42,50,84.0,0,0.3,0.4,-0.3,6,51,5,2,40,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-141,1997,19.2,554,672,82.4,8075,1733,296,334,88.6,198,228,86.8,26,46,56.5,1,1.1,0.5,-0.1,17,44,4,0,45,Matches
Leny Yoro,fr FRA,DF,Manchester Utd,19-149,2005,9.7,528,571,92.5,8523,2822,244,255,95.7,252,266,94.7,23,36,63.9,0,0.0,0.1,0.0,0,36,2,1,43,Matches
Ashley Young,eng ENG,"DF,FW",Everton,39-276,1985,17.6,591,848,69.7,10908,4949,282,322,87.6,230,304,75.7,73,179,40.8,3,1.6,1.9,+1.4,19,68,17,8,81,Matches
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-222,2002,28.1,1104,1365,80.9,23567,8867,292,325,89.8,647,714,90.6,157,299,52.5,0,0.5,0.5,-0.5,10,111,6,0,104,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-117,1996,3.3,193,243,79.4,3067,724,102,114,89.5,79,97,81.4,8,20,40.0,0,0.0,0.1,0.0,1,14,2,1,21,Matches
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-324,2001,15.0,282,394,71.6,3460,869,190,243,78.2,59,77,76.6,8,17,47.1,1,1.5,1.0,-0.5,12,24,5,0,41,Matches
Martin Ødegaard,no NOR,MF,Arsenal,26-115,1998,20.4,943,1146,82.3,14228,4245,537,591,90.9,333,382,87.2,49,106,46.2,4,4.1,5.5,-0.1,47,100,63,5,192,Matches
