Player,Nation,Pos,Squad,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches
Joe Aribo,ng NGA,"MF,DF",Southampton,28-264,1996,21.2,3,17,7,41.2,0.80,0.33,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,+0.3,+0.3,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-060,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches
Harrison Armstrong,eng ENG,MF,Everton,18-082,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-190,1994,24.0,0,1,0,0.0,0.04,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Marco Asensio,es ESP,"MF,FW",Aston Villa,29-080,1996,3.4,3,13,7,53.8,3.84,2.07,0.23,0.43,16.5,1,0,0,2.1,2.1,0.16,+0.9,+0.9,Matches
Brandon Austin,eng ENG,GK,Tottenham,26-093,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-242,1997,4.0,1,10,4,40.0,2.48,0.99,0.10,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
Yasin Ayari,se SWE,MF,Brighton,21-187,2003,17.1,0,23,6,26.1,1.34,0.35,0.00,0.00,18.5,2,0,0,2.1,2.1,0.09,-2.1,-2.1,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-212,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-212,1991,14.6,4,25,7,28.0,1.72,0.48,0.12,0.43,18.4,3,1,1,2.8,2.0,0.08,+1.2,+1.0,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,24-016,2001,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-245,1997,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Carlos Baleba,cm CMR,MF,Brighton,21-098,2004,22.9,2,39,10,25.6,1.71,0.44,0.05,0.20,24.9,1,0,0,3.0,3.0,0.08,-1.0,-1.0,Matches
Ross Barkley,eng ENG,MF,Aston Villa,31-127,1993,6.2,3,14,4,28.6,2.27,0.65,0.21,0.75,13.8,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches
Harvey Barnes,eng ENG,FW,Newcastle Utd,27-123,1997,12.0,6,43,13,30.2,3.58,1.08,0.14,0.46,14.3,0,0,0,5.0,5.0,0.12,+1.0,+1.0,Matches
Calvin Bassey,ng NGA,DF,Fulham,25-101,1999,28.2,1,13,4,30.8,0.46,0.14,0.08,0.25,15.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Jan Bednarek,pl POL,DF,Southampton,28-364,1996,23.1,2,5,2,40.0,0.22,0.09,0.40,1.00,16.0,0,0,0,0.7,0.7,0.13,+1.3,+1.3,Matches
Armel Bella Kotchap,de GER,DF,Southampton,23-121,2001,3.7,0,1,0,0.0,0.27,0.00,0.00,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-288,1998,16.0,2,20,5,25.0,1.25,0.31,0.10,0.40,21.7,2,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27-290,1997,15.5,2,22,5,22.7,1.42,0.32,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
Sander Berge,no NOR,MF,Fulham,27-056,1998,20.3,0,2,0,0.0,0.10,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Lucas Bergvall,se SWE,MF,Tottenham,19-068,2006,12.0,0,12,2,16.7,1.00,0.17,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-116,2002,26.4,0,3,0,0.0,0.11,0.00,0.00,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Beto,gw GNB,FW,Everton,27-070,1998,11.9,6,33,17,51.5,2.77,1.42,0.18,0.35,13.3,0,0,0,6.1,6.1,0.18,-0.1,-0.1,Matches
Philip Billing,dk DEN,MF,Bournemouth,28-304,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Yves Bissouma,ml MLI,MF,Tottenham,28-224,1996,12.8,2,9,3,33.3,0.70,0.23,0.22,0.67,22.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
Oscar Bobb,no NOR,FW,Manchester City,21-273,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-096,2004,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,34-067,1991,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Sven Botman,nl NED,DF,Newcastle Utd,25-089,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-112,1996,26.3,8,70,28,40.0,2.66,1.07,0.10,0.25,17.9,1,1,1,6.8,6.1,0.09,+1.2,+0.9,Matches
Conor Bradley,nir NIR,DF,Liverpool,21-276,2003,4.4,0,7,3,42.9,1.59,0.68,0.00,0.00,14.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,22-288,2002,22.1,0,7,2,28.6,0.32,0.09,0.00,0.00,8.2,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
James Bree,eng ENG,DF,Southampton,27-182,1997,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ben Brereton,cl CHI,FW,Southampton,25-358,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-006,1998,6.6,1,10,6,60.0,1.53,0.92,0.10,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
Armando Broja,al ALB,FW,Everton,23-213,2001,2.3,0,4,0,0.0,1.72,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
David Brooks,wls WAL,"FW,MF",Bournemouth,27-277,1997,8.8,2,22,10,45.5,2.50,1.13,0.09,0.20,16.8,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-107,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Santiago Bueno,uy URU,DF,Wolves,26-153,1998,17.1,0,6,3,50.0,0.35,0.18,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-109,2004,15.5,4,31,10,32.3,1.99,0.64,0.13,0.40,17.8,0,0,0,3.6,3.6,0.11,+0.4,+0.4,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,29-172,1995,12.5,0,9,1,11.1,0.72,0.08,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Dan Burn,eng ENG,DF,Newcastle Utd,32-337,1992,29.0,0,15,4,26.7,0.52,0.14,0.00,0.00,10.4,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-139,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Moisés Caicedo,ec ECU,MF,Chelsea,23-160,2001,30.2,1,14,3,21.4,0.46,0.10,0.07,0.33,24.8,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
Tom Cairney,sct SCO,MF,Fulham,34-081,1991,4.9,1,4,1,25.0,0.82,0.21,0.25,1.00,23.5,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,25-244,1999,17.8,1,8,1,12.5,0.45,0.06,0.13,1.00,20.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
Riccardo Calafiori,it ITA,DF,Arsenal,22-327,2002,10.3,2,10,6,60.0,0.97,0.58,0.20,0.33,14.1,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,28-026,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches
Diego Carlos,br BRA,DF,Aston Villa,32-027,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Fabio Carvalho,pt POR,"FW,MF",Brentford,22-224,2002,5.1,2,12,5,41.7,2.37,0.99,0.17,0.40,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
Casemiro,br BRA,MF,Manchester Utd,33-047,1992,14.1,1,27,8,29.6,1.91,0.57,0.04,0.13,19.3,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
Kaelan Casey,eng ENG,DF,West Ham,20-165,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matty Cash,pl POL,DF,Aston Villa,27-247,1997,16.4,1,8,4,50.0,0.49,0.24,0.13,0.25,17.6,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Eiran Cashin,ie IRL,DF,Brighton,23-153,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Timothy Castagne,be BEL,DF,Fulham,29-127,1995,16.9,0,8,3,37.5,0.47,0.18,0.00,0.00,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-280,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
Trevoh Chalobah,eng ENG,DF,Chelsea,25-280,1999,5.3,0,4,0,0.0,0.76,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-054,1997,6.9,1,12,3,25.0,1.73,0.43,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Youssef Chermiti,pt POR,"FW,MF",Everton,20-322,2004,0.2,0,2,1,50.0,10.59,5.29,0.00,0.00,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Federico Chiesa,it ITA,FW,Liverpool,27-168,1997,0.4,0,4,2,50.0,9.73,4.86,0.00,0.00,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Ben Chilwell,eng ENG,DF,Crystal Palace,28-111,1996,1.2,0,2,1,50.0,1.62,0.81,0.00,0.00,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Chiquinho,pt POR,MF,Wolves,25-065,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-192,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Christie,sct SCO,MF,Bournemouth,30-048,1995,23.5,2,33,12,36.4,1.40,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Harry Clarke,eng ENG,DF,Ipswich Town,24-040,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
