Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Emile Smith Rowe,eng ENG,MF,Fulham,24-256,2000,20.1,1067,20,148,504,425,51,1067,33,16,48.5,15,45.5,699,3431,1797,50,37,11,31,13,820,106,Matches
Dominic Solanke,eng ENG,FW,Tottenham,27-208,1997,21.7,602,31,66,274,268,105,602,48,16,33.3,29,60.4,355,1926,777,29,20,14,62,44,421,84,Matches
Carlos Soler,es ESP,"MF,FW",West Ham,28-098,1997,13.1,646,21,154,331,166,19,646,17,8,47.1,8,47.1,302,1488,642,13,15,4,9,12,433,24,Matches
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-222,1999,2.9,135,5,32,40,68,12,135,11,8,72.7,3,27.3,65,546,303,11,6,4,5,5,71,15,Matches
Tomáš Souček,cz CZE,MF,West Ham,30-042,1995,23.9,1070,105,293,526,255,93,1070,11,6,54.5,5,45.5,413,1237,439,6,10,3,16,10,643,58,Matches
Boubakary Soumaré,fr FRA,MF,Leicester City,26-042,1999,19.2,1191,51,304,760,140,14,1191,41,26,63.4,11,26.8,708,3304,1720,29,14,2,19,20,837,21,Matches
Djed Spence,eng ENG,DF,Tottenham,24-244,2000,13.8,1040,58,356,471,228,20,1040,57,29,50.9,23,40.4,607,3608,1899,38,33,6,21,21,652,56,Matches
Jay Stansfield,eng ENG,MF,Fulham,22-137,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Jason Steele,eng ENG,GK,Brighton,34-235,1990,2.0,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0,Matches
Jack Stephens,eng ENG,DF,Southampton,31-073,1994,9.9,748,75,307,369,76,6,748,3,0,0.0,3,100.0,415,1932,932,11,10,1,1,1,543,1,Matches
Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-123,1994,3.9,210,1,7,45,161,33,210,22,9,40.9,7,31.8,152,1072,588,21,9,14,10,13,159,63,Matches
Ross Stewart,sct SCO,"FW,MF",Southampton,28-273,1996,1.6,64,5,13,32,19,2,64,2,1,50.0,1,50.0,36,152,59,1,0,0,1,5,49,5,Matches
Jakub Stolarczyk,pl POL,GK,Leicester City,24-112,2000,6.0,241,179,236,6,0,0,241,0,0,,0,,130,592,396,0,0,0,1,0,131,0,Matches
John Stones,eng ENG,"DF,MF",Manchester City,30-317,1994,6.1,442,40,142,234,68,4,442,2,2,100.0,0,0.0,292,2146,1183,10,14,0,2,0,333,2,Matches
Jørgen Strand Larsen,no NOR,FW,Wolves,25-063,2000,24.9,624,32,80,297,248,91,624,14,6,42.9,8,57.1,290,993,400,13,11,7,79,29,452,92,Matches
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-286,2000,16.2,1016,61,306,395,320,29,1016,20,9,45.0,10,50.0,548,2511,1352,32,15,7,18,4,688,76,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-054,2002,10.1,401,10,48,149,216,40,401,73,30,41.1,37,50.7,266,2319,1176,47,30,18,31,19,289,64,Matches
Crysencio Summerville,nl NED,"FW,MF",West Ham,23-162,2001,8.7,372,9,47,147,181,38,372,39,13,33.3,18,46.2,207,1463,762,29,15,13,20,16,259,71,Matches
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-198,1995,10.9,309,17,80,119,116,33,309,12,4,33.3,6,50.0,174,989,399,16,8,7,24,17,189,46,Matches
Dominik Szoboszlai,hu HUN,MF,Liverpool,24-167,2000,23.3,1355,21,174,660,539,89,1355,35,19,54.3,13,37.1,702,3587,1992,63,44,17,34,20,928,115,Matches
Matt Targett,eng ENG,DF,Newcastle Utd,29-204,1995,0.1,8,0,1,4,3,0,8,0,0,,0,,2,5,1,0,0,0,0,0,5,0,Matches
James Tarkowski,eng ENG,DF,Everton,32-142,1992,30.9,1612,346,928,594,99,50,1612,7,5,71.4,2,28.6,688,3350,1772,9,10,0,12,7,875,3,Matches
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-019,1999,16.7,905,17,100,345,480,47,905,47,20,42.6,24,51.1,510,3047,1435,36,33,7,36,41,571,101,Matches
Charlie Taylor,eng ENG,DF,Southampton,31-204,1993,3.0,219,21,93,91,36,1,219,2,2,100.0,0,0.0,91,386,155,3,3,0,1,1,133,6,Matches
Jack Taylor,ie IRL,MF,Ipswich Town,26-291,1998,6.0,380,21,105,207,76,6,380,5,2,40.0,2,40.0,193,1131,629,9,8,1,7,6,250,16,Matches
Mathys Tel,fr FRA,FW,Tottenham,19-348,2005,3.5,117,0,13,45,62,17,116,16,3,18.8,11,68.8,85,539,235,8,7,3,8,6,80,17,Matches
Kenny Tete,nl NED,DF,Fulham,29-183,1995,14.1,881,48,273,383,232,26,881,17,8,47.1,4,23.5,460,2301,1126,33,17,7,16,10,511,39,Matches
Thiago,br BRA,FW,Brentford,23-288,2001,1.5,56,6,11,23,23,2,56,3,2,66.7,1,33.3,34,119,42,3,2,1,5,1,35,4,Matches
Luke Thomas,eng ENG,DF,Leicester City,23-304,2001,6.0,417,28,155,205,60,4,417,5,2,40.0,3,60.0,201,766,342,2,2,1,7,0,239,9,Matches
Youri Tielemans,be BEL,MF,Aston Villa,27-338,1997,29.4,2067,89,424,1183,481,33,2066,55,29,52.7,17,30.9,1106,4798,2158,31,23,8,29,25,1443,38,Matches
Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-309,1997,1.1,61,1,7,22,32,4,61,1,0,0.0,1,100.0,24,120,75,3,2,1,1,0,42,11,Matches
Jurriën Timber,nl NED,DF,Arsenal,23-297,2001,25.6,1564,50,280,802,489,66,1564,53,24,45.3,24,45.3,831,3649,1915,53,26,11,32,23,971,103,Matches
Jean-Clair Todibo,fr FRA,DF,West Ham,25-101,1999,13.6,865,123,485,354,33,9,865,13,7,53.8,6,46.2,511,2287,1154,7,5,0,6,7,585,4,Matches
Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-234,1995,0.5,44,3,13,10,21,2,44,0,0,,0,,10,21,11,0,0,0,0,0,18,4,Matches
Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-156,1998,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,24-337,2000,21.2,1259,49,301,701,279,31,1259,29,17,58.6,9,31.0,698,3725,1573,29,30,4,21,23,868,38,Matches
Pau Torres,es ESP,DF,Aston Villa,28-084,1997,18.2,1241,190,591,581,75,13,1241,16,14,87.5,2,12.5,772,5098,3343,31,19,0,3,3,882,4,Matches
Conor Townsend,eng ENG,DF,Ipswich Town,32-037,1993,3.4,164,25,82,48,36,5,164,0,0,,0,,51,267,129,2,2,0,2,2,74,12,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,29-075,1996,16.5,676,2,71,242,383,82,676,83,40,48.2,32,38.6,461,3815,2097,80,39,32,30,18,520,135,Matches
Boubacar Traoré,ml MLI,MF,Wolves,23-233,2001,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Mark Travers,ie IRL,GK,Bournemouth,25-327,1999,5.0,162,144,159,3,0,0,162,0,0,,0,,85,426,188,0,0,0,0,0,68,0,Matches
Ryan Trevitt,eng ENG,MF,Brentford,22-029,2003,0.0,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1,Matches
Kieran Trippier,eng ENG,DF,Newcastle Utd,34-203,1990,9.7,901,37,290,389,228,8,901,5,4,80.0,1,20.0,416,1558,853,16,6,3,7,4,553,30,Matches
Leandro Trossard,be BEL,FW,Arsenal,30-127,1994,22.2,983,14,111,302,586,117,983,67,27,40.3,31,46.3,621,3916,1737,67,45,25,45,36,725,179,Matches
Kostas Tsimikas,gr GRE,DF,Liverpool,28-333,1996,5.7,487,23,121,220,148,8,487,4,3,75.0,1,25.0,231,1012,570,13,5,2,4,2,306,25,Matches
Axel Tuanzebe,cd COD,DF,Ipswich Town,27-147,1997,14.1,718,66,301,324,99,6,718,9,4,44.4,5,55.6,309,1379,665,7,6,1,10,1,380,7,Matches
Destiny Udogie,it ITA,DF,Tottenham,22-133,2002,19.4,1287,57,353,572,376,48,1287,30,12,40.0,15,50.0,714,4005,2187,51,38,11,31,19,778,92,Matches
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,23-364,2001,16.0,909,36,261,507,155,14,909,24,11,45.8,9,37.5,517,2066,869,9,9,1,26,19,555,18,Matches
Lesley Ugochukwu,fr FRA,MF,Southampton,21-015,2004,13.1,659,30,141,387,137,18,659,23,17,73.9,5,21.7,361,1946,893,22,11,5,8,8,456,18,Matches
Enes Ünal,tr TUR,"FW,MF",Bournemouth,27-335,1997,3.8,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,4,3,1,17,13,133,22,Matches
Virgil van Dijk,nl NED,DF,Liverpool,33-276,1991,31.0,2740,369,1096,1519,133,37,2740,5,3,60.0,2,40.0,1550,7564,4152,17,19,3,5,4,1882,5,Matches
Jamie Vardy,eng ENG,FW,Leicester City,38-089,1987,26.2,504,25,50,227,232,99,503,20,9,45.0,10,50.0,242,1278,610,27,11,14,31,12,328,103,Matches
Renato Veiga,pt POR,"DF,MF",Chelsea,21-255,2003,2.0,167,2,61,82,27,3,167,5,3,60.0,2,40.0,85,417,144,4,5,1,1,0,110,3,Matches
Joël Veltman,nl NED,DF,Brighton,33-085,1992,18.3,1097,64,327,540,240,10,1097,15,4,26.7,5,33.3,524,2780,1414,29,22,3,19,7,598,32,Matches
Micky van de Ven,nl NED,DF,Tottenham,23-356,2001,10.1,808,100,425,359,33,9,808,8,4,50.0,4,50.0,564,2661,1301,8,10,1,5,4,587,1,Matches
Bart Verbruggen,nl NED,GK,Brighton,22-235,2002,29.0,1137,921,1125,12,0,0,1137,2,2,100.0,0,0.0,760,2764,1352,0,1,1,2,0,735,0,Matches
Jannik Vestergaard,dk DEN,DF,Leicester City,32-250,1992,15.5,1092,196,572,497,28,10,1092,4,4,100.0,0,0.0,672,2932,1458,3,3,0,2,0,757,2,Matches
Guglielmo Vicario,it ITA,GK,Tottenham,28-185,1996,19.0,742,492,727,15,0,0,742,1,1,100.0,0,0.0,536,2507,1420,0,0,0,0,0,481,0,Matches
Carlos Vinícius,br BRA,MF,Fulham,30-016,1995,0.0,3,0,0,1,2,2,3,1,1,100.0,0,0.0,3,10,9,1,0,1,0,0,2,1,Matches
Kyle Walker,eng ENG,DF,Manchester City,34-317,1990,10.8,892,26,197,473,228,5,892,6,3,50.0,2,33.3,499,2284,1106,12,13,0,9,2,630,11,Matches
Kyle Walker-Peters,eng ENG,DF,Southampton,27-362,1997,28.4,1810,133,550,791,483,53,1810,79,31,39.2,35,44.3,1117,7152,3964,108,65,22,26,34,1277,124,Matches
Christian Walton,eng ENG,GK,Ipswich Town,29-152,1995,6.0,242,224,241,1,0,0,242,0,0,,0,,122,572,305,0,0,0,0,0,117,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-135,1997,29.0,1848,127,588,791,496,37,1848,92,48,52.2,33,35.9,862,5511,3102,91,52,11,27,18,1061,126,Matches
Danny Ward,wls WAL,GK,Leicester City,31-292,1993,1.5,55,40,55,0,0,0,55,1,0,0.0,1,100.0,44,176,107,0,0,0,0,0,35,0,Matches
Joel Ward,eng ENG,DF,Crystal Palace,35-163,1989,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,West Ham,30-160,1994,6.5,470,19,106,278,86,2,470,1,1,100.0,0,0.0,225,1026,409,6,10,0,1,3,321,2,Matches
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-160,1994,4.4,205,13,49,115,45,1,205,0,0,,0,,92,407,170,1,3,0,3,3,115,3,Matches
Ollie Watkins,eng ENG,FW,Aston Villa,29-101,1995,23.8,576,17,43,209,333,142,574,36,8,22.2,25,69.4,340,1850,963,47,20,32,46,42,454,133,Matches
Adam Webster,eng ENG,DF,Brighton,30-096,1995,6.9,569,84,279,271,22,8,569,3,1,33.3,2,66.7,326,1927,1142,7,2,0,3,1,384,2,Matches
Danny Welbeck,eng ENG,FW,Brighton,34-135,1990,17.7,538,10,42,238,262,73,538,29,10,34.5,16,55.2,314,1449,612,17,19,6,38,22,398,65,Matches
Welington,br BRA,"DF,MF",Southampton,24-050,2001,2.3,122,11,45,44,36,2,122,4,3,75.0,0,0.0,42,190,113,3,3,1,6,0,50,10,Matches
Timo Werner,de GER,"FW,MF",Tottenham,29-035,1996,5.7,298,8,24,78,203,33,298,19,10,52.6,8,42.1,215,1768,1062,42,24,18,14,6,227,89,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-312,2004,11.2,700,21,158,372,173,8,700,9,2,22.2,7,77.8,346,1593,814,11,16,2,13,12,433,10,Matches
Ben White,eng ENG,DF,Arsenal,27-184,1997,8.5,478,42,153,215,112,13,478,2,0,0.0,1,50.0,217,788,396,5,8,1,7,3,281,19,Matches
Mats Wieffer,nl NED,MF,Brighton,25-145,1999,5.7,481,26,114,284,90,10,481,9,4,44.4,5,55.6,265,1150,456,5,6,0,10,7,313,9,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,23-362,2001,21.8,1141,119,409,404,342,35,1141,39,15,38.5,17,43.6,472,2923,1617,53,25,14,17,14,541,75,Matches
