Player,Nation,Pos,Squad,stats_Age,stats_Born,stats_Playing Time_MP,stats_Playing Time_Starts,stats_Playing Time_Min,stats_Playing Time_90s,stats_Performance_Gls,stats_Performance_Ast,stats_Performance_G+A,stats_Performance_G-PK,stats_Performance_PK,stats_Performance_PKatt,stats_Performance_CrdY,stats_Performance_CrdR,stats_Expected_xG,stats_Expected_npxG,stats_Expected_xAG,stats_Expected_npxG+xAG,stats_Progression_PrgC,stats_Progression_PrgP,stats_Progression_PrgR,stats_Per 90 Minutes_Gls,stats_Per 90 Minutes_Ast,stats_Per 90 Minutes_G+A,stats_Per 90 Minutes_G-PK,stats_Per 90 Minutes_G+A-PK,stats_Per 90 Minutes_xG,stats_Per 90 Minutes_xAG,stats_Per 90 Minutes_xG+xAG,stats_Per 90 Minutes_npxG,stats_Per 90 Minutes_npxG+xAG,stats_Matches,keepers_Age,keepers_Born,keepers_Playing Time_MP,keepers_Playing Time_Starts,keepers_Playing Time_Min,keepers_Playing Time_90s,keepers_Performance_GA,keepers_Performance_GA90,keepers_Performance_SoTA,keepers_Performance_Saves,keepers_Performance_Save%,keepers_Performance_W,keepers_Performance_D,keepers_Performance_L,keepers_Performance_CS,keepers_Performance_CS%,keepers_Penalty Kicks_PKatt,keepers_Penalty Kicks_PKA,keepers_Penalty Kicks_PKsv,keepers_Penalty Kicks_PKm,keepers_Penalty Kicks_Save%,keepers_Matches,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches,gca_Age,gca_Born,gca_90s,gca_SCA_SCA,gca_SCA_SCA90,gca_SCA Types_PassLive,gca_SCA Types_PassDead,gca_SCA Types_TO,gca_SCA Types_Sh,gca_SCA Types_Fld,gca_SCA Types_Def,gca_GCA_GCA,gca_GCA_GCA90,gca_GCA Types_PassLive,gca_GCA Types_PassDead,gca_GCA Types_TO,gca_GCA Types_Sh,gca_GCA Types_Fld,gca_GCA Types_Def,gca_Matches,defense_Age,defense_Born,defense_90s,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense_Challenges_Tkl,defense_Challenges_Att,defense_Challenges_Tkl%,defense_Challenges_Lost,defense_Blocks_Blocks,defense_Blocks_Sh,defense_Blocks_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,defense_Matches,possession_Age,possession_Born,possession_90s,possession_Touches_Touches,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Live,possession_Take-Ons_Att,possession_Take-Ons_Succ,possession_Take-Ons_Succ%,possession_Take-Ons_Tkld,possession_Take-Ons_Tkld%,possession_Carries_Carries,possession_Carries_TotDist,possession_Carries_PrgDist,possession_Carries_PrgC,possession_Carries_1/3,possession_Carries_CPA,possession_Carries_Mis,possession_Carries_Dis,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Matches,misc_Age,misc_Born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,misc_Performance_Recov,misc_Aerial Duels_Won,misc_Aerial Duels_Lost,misc_Aerial Duels_Won%,misc_Matches
Diego Carlos,BRA,DF,Aston Villa,32-027,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,32-027,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,32-027,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Matches,32-027,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,32-027,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,Matches,32-027,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches,32-027,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
Diego Gómez,PAR,MF,Brighton,22-015,2003,9,4,396,4.4,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,5,18,11,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,22-015,2003,4.4,0,3,0,0.0,0.68,0.00,0.00,,20.3,1,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,22-015,2003,4.4,181,228,79.4,2768,669,102,118,86.4,64,77,83.1,10,20,50.0,0,0.5,0.8,-0.5,5,12,4,1,18,Matches,22-015,2003,4.4,12,2.73,11,0,0,1,0,0,1,0.23,1,0,0,0,0,0,Matches,22-015,2003,4.4,16,10,8,7,1,9,18,50.0,9,9,0,9,6,22,9,1,Matches,22-015,2003,4.4,304,16,72,166,70,5,304,12,6,50.0,6,50.0,142,516,233,5,3,0,6,9,180,11,Matches,22-015,2003,4.4,0,0,0,5,2,1,9,6,10,0,0,0,27,7,3,70.0,Matches
Diogo Dalot,POR,DF,Manchester Utd,26-024,1999,30,30,2666,29.6,0,2,2,0,0,0,5,0,2.0,2.0,1.9,3.9,60,96,157,0.00,0.07,0.07,0.00,0.07,0.07,0.06,0.13,0.07,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,26-024,1999,29.6,0,23,5,21.7,0.78,0.17,0.00,0.00,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches,26-024,1999,29.6,1290,1600,80.6,20836,6340,665,742,89.6,504,613,82.2,91,161,56.5,2,1.9,2.4,+0.1,24,57,23,8,96,Matches,26-024,1999,29.6,72,2.43,55,5,7,4,0,1,4,0.14,2,0,1,1,0,0,Matches,26-024,1999,29.6,62,35,37,20,5,30,47,63.8,17,20,9,11,36,98,71,0,Matches,26-024,1999,29.6,1889,113,638,739,526,64,1889,47,24,51.1,19,40.4,1077,4742,2578,60,36,15,35,17,1141,157,Matches,26-024,1999,29.6,5,0,0,40,9,4,62,36,35,0,1,0,160,37,21,63.8,Matches
Diogo Jota,POR,FW,Liverpool,28-128,1996,20,12,984,10.9,6,3,9,6,0,0,2,0,6.8,6.8,1.8,8.6,34,28,81,0.55,0.27,0.82,0.55,0.82,0.62,0.16,0.79,0.62,0.79,Matches,,,,,,,,,,,,,,,,,,,,,,,28-128,1996,10.9,6,41,13,31.7,3.75,1.19,0.15,0.46,12.7,0,0,0,6.8,6.8,0.17,-0.8,-0.8,Matches,28-128,1996,10.9,178,259,68.7,2570,597,98,128,76.6,60,81,74.1,9,17,52.9,3,1.8,1.1,+1.2,10,23,3,1,28,Matches,28-128,1996,10.9,32,2.93,20,0,6,4,1,1,8,0.73,5,0,2,0,1,0,Matches,28-128,1996,10.9,11,7,0,7,4,7,19,36.8,12,9,0,9,6,17,6,0,Matches,28-128,1996,10.9,407,5,27,162,225,83,407,29,11,37.9,17,58.6,228,1357,711,34,21,20,35,21,283,81,Matches,28-128,1996,10.9,2,0,0,16,11,0,8,6,7,1,0,0,36,20,25,44.4,Matches
Djed Spence,ENG,DF,Tottenham,24-245,2000,18,13,1244,13.8,1,2,3,1,0,0,4,1,0.5,0.5,1.7,2.2,38,79,56,0.07,0.14,0.22,0.07,0.22,0.03,0.12,0.16,0.03,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,24-245,2000,13.8,1,8,3,37.5,0.58,0.22,0.13,0.33,22.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,24-245,2000,13.8,741,850,87.2,10445,3017,438,464,94.4,254,291,87.3,22,40,55.0,2,1.7,1.2,+0.3,10,59,14,6,79,Matches,24-245,2000,13.8,23,1.66,18,0,4,1,0,0,4,0.29,3,0,1,0,0,0,Matches,24-245,2000,13.8,35,26,20,10,5,18,23,78.3,5,21,8,13,16,51,48,1,Matches,24-245,2000,13.8,1040,58,356,471,228,20,1040,57,29,50.9,23,40.4,607,3608,1899,38,33,6,21,21,652,56,Matches,24-245,2000,13.8,4,1,1,17,21,2,15,16,26,0,0,0,75,16,11,59.3,Matches
Dominic Calvert-Lewin,ENG,FW,Everton,28-026,1997,22,19,1574,17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,28-026,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches,28-026,1997,17.5,174,278,62.6,2035,488,126,180,70.0,35,60,58.3,3,8,37.5,1,0.6,0.7,+0.4,7,19,5,1,19,Matches,28-026,1997,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches,28-026,1997,17.5,9,7,1,4,4,2,6,33.3,4,6,2,4,6,15,18,0,Matches,28-026,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1398,444,22,8,16,71,32,402,105,Matches,28-026,1997,17.5,2,0,0,27,22,27,6,6,7,0,0,0,32,83,79,51.2,Matches
Dominic Solanke,ENG,FW,Tottenham,27-209,1997,22,22,1954,21.7,7,3,10,7,0,0,0,0,9.4,9.4,2.9,12.4,29,43,84,0.32,0.14,0.46,0.32,0.46,0.43,0.14,0.57,0.43,0.57,Matches,,,,,,,,,,,,,,,,,,,,,,,27-209,1997,21.7,7,55,22,40.0,2.53,1.01,0.13,0.32,12.3,0,0,0,9.4,9.4,0.17,-2.4,-2.4,Matches,27-209,1997,21.7,238,333,71.5,3165,878,147,193,76.2,59,78,75.6,12,18,66.7,3,2.9,1.1,+0.1,14,26,9,0,43,Matches,27-209,1997,21.7,37,1.70,25,0,0,9,2,1,8,0.37,6,0,0,1,1,0,Matches,27-209,1997,21.7,18,11,1,12,5,4,11,36.4,7,16,7,9,0,18,22,0,Matches,27-209,1997,21.7,602,31,66,274,268,105,602,48,16,33.3,29,60.4,355,1926,777,29,20,14,62,44,421,84,Matches,27-209,1997,21.7,0,0,0,32,35,5,4,0,11,0,0,1,35,41,52,44.1,Matches
Dominik Szoboszlai,HUN,MF,Liverpool,24-168,2000,29,24,2097,23.3,5,3,8,5,0,0,6,0,6.8,6.8,5.0,11.8,63,105,115,0.21,0.13,0.34,0.21,0.34,0.29,0.21,0.51,0.29,0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,24-168,2000,23.3,5,58,17,29.3,2.49,0.73,0.09,0.29,18.1,2,0,0,6.8,6.8,0.12,-1.8,-1.8,Matches,24-168,2000,23.3,954,1132,84.3,14743,2917,527,593,88.9,301,341,88.3,78,109,71.6,3,5.0,4.2,-2.0,41,71,29,4,105,Matches,24-168,2000,23.3,95,4.08,74,4,4,11,1,1,12,0.52,9,0,0,3,0,0,Matches,24-168,2000,23.3,29,19,8,16,5,15,37,40.5,22,33,4,29,9,38,15,2,Matches,24-168,2000,23.3,1355,21,174,660,539,89,1355,35,19,54.3,13,37.1,702,3587,1992,63,44,17,34,20,928,115,Matches,24-168,2000,23.3,6,0,0,35,21,4,32,9,19,0,0,0,111,17,20,45.9,Matches
Donyell Malen,NED,FW,Aston Villa,26-092,1999,8,2,234,2.6,2,0,2,2,0,0,0,0,1.4,1.4,0.0,1.4,6,5,18,0.77,0.00,0.77,0.77,0.77,0.52,0.01,0.53,0.52,0.53,Matches,,,,,,,,,,,,,,,,,,,,,,,26-092,1999,2.6,2,9,6,66.7,3.46,2.31,0.22,0.33,15.6,0,0,0,1.4,1.4,0.15,+0.6,+0.6,Matches,26-092,1999,2.6,37,53,69.8,476,92,25,30,83.3,9,13,69.2,2,3,66.7,0,0.0,0.0,0.0,1,1,1,0,5,Matches,26-092,1999,2.6,3,1.15,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,26-092,1999,2.6,6,3,3,2,1,1,4,25.0,3,0,0,0,0,6,0,0,Matches,26-092,1999,2.6,90,1,5,26,65,14,90,10,3,30.0,5,50.0,53,405,199,6,5,2,6,5,56,18,Matches,26-092,1999,2.6,0,0,0,1,3,2,5,0,3,0,0,0,6,1,4,20.0,Matches
Dwight McNeil,ENG,"MF,FW",Everton,25-140,1999,14,13,1144,12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,25-140,1999,12.7,3,23,8,34.8,1.81,0.63,0.13,0.38,22.0,0,0,0,0.9,0.9,0.04,+2.1,+2.1,Matches,25-140,1999,12.7,377,514,73.3,7166,2463,170,197,86.3,136,167,81.4,63,118,53.4,3,3.5,3.8,-0.5,32,33,32,10,60,Matches,25-140,1999,12.7,60,4.72,33,18,4,2,2,1,6,0.47,3,1,1,0,0,1,Matches,25-140,1999,12.7,10,6,5,3,2,7,16,43.8,9,7,0,7,5,15,1,1,Matches,25-140,1999,12.7,619,2,61,267,305,18,619,37,20,54.1,16,43.2,360,2227,931,31,28,4,22,24,417,65,Matches,25-140,1999,12.7,1,0,0,6,13,1,91,5,6,0,0,0,63,3,14,17.6,Matches
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26-286,1998,26,24,2095,23.3,2,8,10,2,0,0,1,0,6.4,6.4,4.7,11.1,62,83,135,0.09,0.34,0.43,0.09,0.43,0.27,0.20,0.48,0.27,0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,26-286,1998,23.3,2,87,22,25.3,3.74,0.95,0.02,0.09,21.1,14,0,0,6.4,6.4,0.07,-4.4,-4.4,Matches,26-286,1998,23.3,660,887,74.4,11071,2930,325,380,85.5,258,311,83.0,60,138,43.5,8,4.7,3.4,+3.3,51,44,30,3,83,Matches,26-286,1998,23.3,112,4.81,58,24,10,11,8,1,9,0.39,8,1,0,0,0,0,Matches,26-286,1998,23.3,36,22,13,14,9,17,35,48.6,18,24,0,24,10,46,9,3,Matches,26-286,1998,23.3,1200,13,155,563,511,78,1200,119,56,47.1,57,47.9,722,4428,2072,62,41,20,42,40,788,135,Matches,26-286,1998,23.3,1,0,0,7,42,8,97,10,22,0,0,0,119,6,35,14.6,Matches
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25-316,1999,22,7,750,8.3,1,1,2,1,0,0,5,1,3.5,3.5,1.5,5.0,32,15,61,0.12,0.12,0.24,0.12,0.24,0.42,0.18,0.60,0.42,0.60,Matches,,,,,,,,,,,,,,,,,,,,,,,25-316,1999,8.3,1,31,11,35.5,3.72,1.32,0.03,0.09,15.1,0,0,0,3.5,3.5,0.11,-2.5,-2.5,Matches,25-316,1999,8.3,140,192,72.9,2079,433,74,95,77.9,51,62,82.3,8,13,61.5,1,1.5,0.8,-0.5,11,10,4,0,15,Matches,25-316,1999,8.3,23,2.76,15,0,3,1,4,0,2,0.24,1,0,0,0,1,0,Matches,25-316,1999,8.3,12,5,6,2,4,5,11,45.5,6,9,0,9,2,14,9,0,Matches,25-316,1999,8.3,315,7,33,128,160,52,315,17,8,47.1,6,35.3,184,1358,725,32,18,12,25,13,223,61,Matches,25-316,1999,8.3,5,1,1,24,21,2,5,2,5,1,0,0,21,16,26,38.1,Matches
Ederson,BRA,GK,Manchester City,31-237,1993,21,21,1890,21.0,0,3,3,0,0,0,3,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.14,0.14,0.00,0.14,0.00,0.04,0.04,0.00,0.04,Matches,31-237,1993,21,21,"1,890",21.0,23,1.10,71,49,70.4,12,3,6,7,33.3,2,2,0,0,0.0,Matches,31-237,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,31-237,1993,21.0,664,758,87.6,16312,10785,118,118,100.0,391,398,98.2,153,239,64.0,3,0.8,0.0,+2.2,3,19,1,0,1,Matches,31-237,1993,21.0,5,0.24,5,0,0,0,0,0,3,0.14,3,0,0,0,0,0,Matches,31-237,1993,21.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,9,2,Matches,31-237,1993,21.0,804,564,795,9,0,0,804,0,0,,0,,540,2526,1609,0,0,0,1,0,510,0,Matches,31-237,1993,21.0,3,0,0,1,0,0,0,1,0,0,1,0,35,4,1,80.0,Matches
Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,23-338,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,23-338,2001,1.3,0,1,0,0.0,0.76,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,23-338,2001,1.3,76,84,90.5,1259,343,38,40,95.0,29,31,93.5,6,7,85.7,0,0.1,0.0,-0.1,1,2,0,0,13,Matches,23-338,2001,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0,Matches,23-338,2001,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0,Matches,23-338,2001,1.3,101,2,18,58,27,4,101,4,3,75.0,1,25.0,68,414,221,4,3,1,2,0,75,4,Matches,23-338,2001,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0,Matches
Edson Álvarez,MEX,MF,West Ham,27-169,1997,25,19,1633,18.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,21,75,18,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.06,0.02,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,27-169,1997,18.1,0,11,1,9.1,0.61,0.06,0.00,0.00,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,27-169,1997,18.1,763,890,85.7,12894,3657,372,419,88.8,322,359,89.7,61,83,73.5,1,0.8,0.8,+0.2,11,80,11,3,75,Matches,27-169,1997,18.1,25,1.38,21,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches,27-169,1997,18.1,44,23,24,12,8,15,33,45.5,18,21,8,13,16,60,39,1,Matches,27-169,1997,18.1,1101,61,323,612,174,12,1101,31,14,45.2,12,38.7,603,3371,1528,21,20,2,25,13,734,18,Matches,27-169,1997,18.1,8,1,1,37,18,4,6,16,23,0,0,0,78,28,20,58.3,Matches
Elliot Anderson,ENG,MF,Nott'ham Forest,22-156,2002,30,26,2137,23.7,1,6,7,1,0,0,6,0,1.6,1.6,3.0,4.6,36,108,76,0.04,0.25,0.29,0.04,0.29,0.07,0.13,0.19,0.07,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,22-156,2002,23.7,1,33,5,15.2,1.39,0.21,0.03,0.20,19.8,0,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches,22-156,2002,23.7,812,1036,78.4,12860,4401,428,482,88.8,298,369,80.8,55,119,46.2,6,3.0,3.2,+3.0,32,81,15,2,108,Matches,22-156,2002,23.7,72,3.03,34,18,7,6,3,4,10,0.42,4,3,0,1,1,1,Matches,22-156,2002,23.7,72,48,43,23,6,40,89,44.9,49,39,8,31,24,96,51,3,Matches,22-156,2002,23.7,1378,76,316,648,441,55,1378,67,33,49.3,26,38.8,688,3800,1752,36,27,15,51,34,814,76,Matches,22-156,2002,23.7,6,0,0,36,46,4,67,24,48,0,0,0,163,34,18,65.4,Matches
Emerson Palmieri,ITA,DF,West Ham,30-251,1994,27,23,1851,20.6,2,1,3,2,0,0,5,0,1.8,1.8,1.5,3.3,38,56,72,0.10,0.05,0.15,0.10,0.15,0.09,0.07,0.16,0.09,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,30-251,1994,20.6,2,14,7,50.0,0.68,0.34,0.14,0.29,18.8,3,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches,30-251,1994,20.6,747,944,79.1,11003,4172,442,496,89.1,243,304,79.9,42,97,43.3,1,1.5,2.1,-0.5,16,42,11,5,56,Matches,30-251,1994,20.6,39,1.90,24,11,0,2,2,0,2,0.10,1,1,0,0,0,0,Matches,30-251,1994,20.6,53,28,32,17,4,21,39,53.8,18,30,7,23,18,71,51,0,Matches,30-251,1994,20.6,1167,74,378,491,313,24,1167,30,10,33.3,17,56.7,483,2644,1465,38,22,8,22,7,636,72,Matches,30-251,1994,20.6,5,0,0,21,13,0,59,18,28,0,0,0,82,15,18,45.5,Matches
Emi Buendía,ARG,"MF,FW",Aston Villa,28-107,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches,,,,,,,,,,,,,,,,,,,,,,,28-107,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches,28-107,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches,28-107,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,28-107,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,Matches,28-107,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Matches,28-107,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
Emil Krafth,SWE,DF,Newcastle Utd,30-252,1994,6,2,248,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,30-252,1994,2.8,0,1,0,0.0,0.36,0.00,0.00,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,30-252,1994,2.8,67,90,74.4,1115,506,30,41,73.2,32,38,84.2,4,8,50.0,0,0.1,0.0,-0.1,1,3,0,0,2,Matches,30-252,1994,2.8,3,1.09,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,30-252,1994,2.8,2,1,0,1,1,1,2,50.0,1,5,4,1,2,4,10,0,Matches,30-252,1994,2.8,118,24,67,36,15,4,118,1,0,0.0,1,100.0,54,206,64,1,2,0,2,1,58,1,Matches,30-252,1994,2.8,0,0,0,3,1,0,1,2,1,0,0,0,12,5,4,55.6,Matches
Emile Smith Rowe,ENG,MF,Fulham,24-257,2000,28,23,1805,20.1,5,2,7,5,0,0,2,0,4.1,4.1,1.1,5.2,50,113,106,0.25,0.10,0.35,0.25,0.35,0.21,0.05,0.26,0.21,0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,24-257,2000,20.1,5,32,8,25.0,1.60,0.40,0.16,0.63,15.4,0,0,0,4.1,4.1,0.13,+0.9,+0.9,Matches,24-257,2000,20.1,803,890,90.2,11521,2218,462,500,92.4,300,313,95.8,18,26,69.2,2,1.1,1.7,+0.9,18,70,13,1,113,Matches,24-257,2000,20.1,62,3.09,47,0,3,7,2,3,11,0.55,9,0,1,0,0,1,Matches,24-257,2000,20.1,30,17,7,13,10,8,24,33.3,16,19,2,17,10,40,14,0,Matches,24-257,2000,20.1,1067,20,148,504,425,51,1067,33,16,48.5,15,45.5,699,3431,1797,50,37,11,31,13,820,106,Matches,24-257,2000,20.1,2,0,0,17,12,4,12,10,17,0,0,0,62,6,16,27.3,Matches
Emiliano Martínez,ARG,GK,Aston Villa,32-221,1992,30,30,2610,29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,32-221,1992,30,30,"2,610",29.0,42,1.45,118,75,65.3,13,9,8,4,13.3,2,1,1,0,50.0,Matches,32-221,1992,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,32-221,1992,29.0,905,1136,79.7,23411,13960,160,164,97.6,529,539,98.1,216,426,50.7,0,0.5,0.0,-0.5,1,18,0,0,2,Matches,32-221,1992,29.0,5,0.17,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,32-221,1992,29.0,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,14,6,Matches,32-221,1992,29.0,1189,892,1176,13,0,0,1189,1,1,100.0,0,0.0,721,3622,2275,0,0,0,1,0,652,0,Matches,32-221,1992,29.0,4,0,0,1,5,0,0,0,2,0,0,0,26,7,1,87.5,Matches
Emmanuel Agbadou,CIV,DF,Wolves,27-298,1997,9,9,780,8.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,19,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,27-298,1997,8.7,0,4,1,25.0,0.46,0.12,0.00,0.00,28.2,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,27-298,1997,8.7,423,510,82.9,8523,3013,141,154,91.6,221,245,90.2,57,96,59.4,0,0.1,0.1,-0.1,2,17,1,0,19,Matches,27-298,1997,8.7,10,1.15,9,1,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,27-298,1997,8.7,18,12,12,6,0,8,13,61.5,5,10,8,2,8,26,56,0,Matches,27-298,1997,8.7,611,96,325,274,17,2,611,7,6,85.7,1,14.3,361,1760,762,1,2,0,2,3,385,0,Matches,27-298,1997,8.7,2,0,0,3,3,1,1,8,12,0,0,0,47,16,12,57.1,Matches
Enes Ünal,TUR,"FW,MF",Bournemouth,27-336,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82,Matches,,,,,,,,,,,,,,,,,,,,,,,27-336,1997,3.8,2,20,7,35.0,5.22,1.83,0.10,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches,27-336,1997,3.8,63,99,63.6,685,192,40,52,76.9,17,28,60.7,0,1,0.0,1,0.4,0.3,+0.6,4,4,4,0,12,Matches,27-336,1997,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0,Matches,27-336,1997,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0,Matches,27-336,1997,3.8,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,4,3,1,17,13,133,22,Matches,27-336,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
