Player,Nation,Pos,Squad,gca_Age,gca_Born,gca_90s,gca_SCA_SCA,gca_SCA_SCA90,gca_SCA Types_PassLive,gca_SCA Types_PassDead,gca_SCA Types_TO,gca_SCA Types_Sh,gca_SCA Types_Fld,gca_SCA Types_Def,gca_GCA_GCA,gca_GCA_GCA90,gca_GCA Types_PassLive,gca_GCA Types_PassDead,gca_GCA Types_TO,gca_GCA Types_Sh,gca_GCA Types_Fld,gca_GCA Types_Def,gca_Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,34-067,1991,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sven Botman,nl NED,DF,Newcastle Utd,25-089,2000,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-112,1996,26.3,96,3.65,57,12,5,12,8,2,11,0.42,7,2,1,1,0,0,Matches
Conor Bradley,nir NIR,DF,Liverpool,21-276,2003,4.4,10,2.28,7,0,2,0,1,0,2,0.46,2,0,0,0,0,0,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,22-288,2002,22.1,12,0.54,10,1,0,0,1,0,2,0.09,1,1,0,0,0,0,Matches
James Bree,eng ENG,DF,Southampton,27-182,1997,9.9,15,1.52,12,2,0,1,0,0,1,0.10,1,0,0,0,0,0,Matches
Ben Brereton,cl CHI,FW,Southampton,25-358,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-006,1998,6.6,17,2.60,14,0,3,0,0,0,2,0.31,1,0,1,0,0,0,Matches
Armando Broja,al ALB,FW,Everton,23-213,2001,2.3,4,1.73,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Brooks,wls WAL,"FW,MF",Bournemouth,27-277,1997,8.8,34,3.86,28,3,2,1,0,0,2,0.23,1,0,0,1,0,0,Matches
Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-107,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Bueno,uy URU,DF,Wolves,26-153,1998,17.1,11,0.64,9,1,0,0,0,1,4,0.23,3,0,0,0,0,1,Matches
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-109,2004,15.5,46,2.96,24,11,8,1,2,0,4,0.26,1,2,1,0,0,0,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,29-172,1995,12.5,9,0.72,9,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
Dan Burn,eng ENG,DF,Newcastle Utd,32-337,1992,29.0,16,0.55,12,1,0,2,1,0,3,0.10,2,1,0,0,0,0,Matches
Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-139,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches
Moisés Caicedo,ec ECU,MF,Chelsea,23-160,2001,30.2,84,2.78,76,0,0,0,2,6,7,0.23,6,0,0,0,1,0,Matches
Tom Cairney,sct SCO,MF,Fulham,34-081,1991,4.9,24,4.91,22,1,0,0,1,0,2,0.41,2,0,0,0,0,0,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,25-244,1999,17.8,27,1.51,22,2,3,0,0,0,1,0.06,0,0,1,0,0,0,Matches
Riccardo Calafiori,it ITA,DF,Arsenal,22-327,2002,10.3,13,1.26,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,28-026,1997,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches
Diego Carlos,br BRA,DF,Aston Villa,32-027,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,"FW,MF",Brentford,22-224,2002,5.1,10,1.97,7,0,1,2,0,0,1,0.20,1,0,0,0,0,0,Matches
Casemiro,br BRA,MF,Manchester Utd,33-047,1992,14.1,48,3.40,45,1,0,2,0,0,3,0.21,3,0,0,0,0,0,Matches
Kaelan Casey,eng ENG,DF,West Ham,20-165,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matty Cash,pl POL,DF,Aston Villa,27-247,1997,16.4,18,1.10,16,1,1,0,0,0,2,0.12,2,0,0,0,0,0,Matches
Eiran Cashin,ie IRL,DF,Brighton,23-153,2001,0.2,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Timothy Castagne,be BEL,DF,Fulham,29-127,1995,16.9,25,1.48,21,0,1,2,1,0,3,0.18,2,0,0,1,0,0,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-280,1999,11.8,11,0.93,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Trevoh Chalobah,eng ENG,DF,Chelsea,25-280,1999,5.3,6,1.13,4,0,0,2,0,0,1,0.19,0,0,0,1,0,0,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-054,1997,6.9,19,2.75,17,2,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Youssef Chermiti,pt POR,"FW,MF",Everton,20-322,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Federico Chiesa,it ITA,FW,Liverpool,27-168,1997,0.4,3,7.30,3,0,0,0,0,0,1,2.43,1,0,0,0,0,0,Matches
Ben Chilwell,eng ENG,DF,Crystal Palace,28-111,1996,1.2,3,2.41,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Chiquinho,pt POR,MF,Wolves,25-065,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-192,1997,1.5,3,2.05,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Christie,sct SCO,MF,Bournemouth,30-048,1995,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0,Matches
Harry Clarke,eng ENG,DF,Ipswich Town,24-040,2001,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-139,2000,9.9,35,3.54,29,2,2,0,0,2,4,0.40,3,1,0,0,0,0,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-006,1991,5.1,3,0.59,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Conor Coady,eng ENG,DF,Leicester City,32-045,1993,12.0,4,0.33,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Séamus Coleman,ie IRL,DF,Everton,36-182,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches
Nathan Collins,ie IRL,DF,Brentford,23-346,2001,31.0,27,0.87,19,2,1,3,2,0,6,0.19,2,1,0,1,2,0,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,21-098,2004,2.0,5,2.50,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Levi Colwill,eng ENG,DF,Chelsea,22-044,2003,28.0,33,1.18,29,2,0,1,0,1,3,0.11,2,0,0,0,0,1,Matches
Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-067,1997,28.6,84,2.94,65,17,0,2,0,0,5,0.17,2,1,0,2,0,0,Matches
Maxwel Cornet,ci CIV,FW,Southampton,28-196,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vladimír Coufal,cz CZE,DF,West Ham,32-232,1992,8.2,13,1.59,9,4,0,0,0,0,1,0.12,0,1,0,0,0,0,Matches
Woyo Coulibaly,fr FRA,DF,Leicester City,25-326,1999,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,35-117,1989,6.5,12,1.83,5,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marc Cucurella,es ESP,DF,Chelsea,26-263,1998,26.2,39,1.49,36,1,0,2,0,0,4,0.15,4,0,0,0,0,0,Matches
Jorge Cuenca,es ESP,DF,Fulham,25-145,1999,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25-319,1999,23.8,98,4.12,56,10,13,7,10,2,9,0.38,7,0,2,0,0,0,Matches
Patson Daka,zm ZAM,"FW,MF",Leicester City,26-184,1998,6.5,8,1.23,5,0,2,1,0,0,1,0.15,0,0,1,0,0,0,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,26-024,1999,29.6,72,2.43,55,5,7,4,0,1,4,0.14,2,0,1,1,0,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-282,2000,25.9,104,4.02,80,11,5,2,1,5,18,0.70,12,3,1,0,1,1,Matches
Danilo,br BRA,"MF,FW",Nott'ham Forest,23-347,2001,2.3,6,2.58,6,0,0,0,0,0,2,0.86,2,0,0,0,0,0,Matches
Jayden Danns,eng ENG,MF,Liverpool,19-085,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Danso,at AUT,DF,Tottenham,26-204,1998,3.9,3,0.78,2,0,0,1,0,0,2,0.52,2,0,0,0,0,0,Matches
Ben Davies,wls WAL,DF,Tottenham,31-352,1993,9.0,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leif Davis,eng ENG,DF,Ipswich Town,25-089,2000,27.5,84,3.06,41,36,3,2,1,1,4,0.15,3,0,1,0,0,0,Matches
Craig Dawson,eng ENG,DF,Wolves,34-340,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,33-287,1991,13.3,81,6.11,58,18,1,2,1,1,10,0.75,8,1,0,1,0,0,Matches
Liam Delap,eng ENG,FW,Ipswich Town,22-062,2003,25.8,59,2.29,27,0,10,7,13,2,7,0.27,3,0,2,0,2,0,Matches
Sepp van den Berg,nl NED,DF,Brentford,23-112,2001,21.7,19,0.87,18,0,0,0,1,0,2,0.09,1,0,0,0,1,0,Matches
Justin Devenny,nir NIR,MF,Crystal Palace,21-182,2003,3.7,9,2.43,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-217,1998,2.9,5,1.74,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-274,2002,17.7,80,4.52,54,9,7,2,4,4,16,0.90,7,0,3,1,1,4,Matches
Rúben Dias,pt POR,DF,Manchester City,27-332,1997,18.2,19,1.04,13,0,0,4,0,2,0,0.00,0,0,0,0,0,0,Matches
Luis Díaz,co COL,FW,Liverpool,28-088,1997,21.9,103,4.70,77,0,15,8,3,0,16,0.73,13,0,1,0,2,0,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-030,2006,18.0,54,3.00,33,1,11,5,4,0,4,0.22,2,0,1,1,0,0,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31-265,1993,23.9,59,2.47,36,17,1,4,0,1,5,0.21,5,0,0,0,0,0,Matches
Issa Diop,fr FRA,DF,Fulham,28-092,1997,14.9,6,0.40,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Axel Disasi,fr FRA,DF,Aston Villa,27-031,1998,5.1,9,1.76,7,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Axel Disasi,fr FRA,DF,Chelsea,27-031,1998,4.0,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roman Dixon,eng ENG,DF,Everton,20-106,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nasser Djiga,bf BFA,DF,Wolves,22-147,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matt Doherty,ie IRL,DF,Wolves,33-085,1992,19.6,24,1.22,18,3,1,1,1,0,3,0.15,3,0,0,0,0,0,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-319,2002,14.1,60,4.25,46,1,10,1,2,0,9,0.64,8,0,1,0,0,0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-287,1998,16.6,26,1.57,18,1,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches
Patrick Dorgu,dk DEN,DF,Manchester Utd,20-167,2004,4.5,10,2.24,9,0,0,0,1,0,1,0.22,0,0,0,0,1,0,Matches
Alfie Dorrington,eng ENG,DF,Tottenham,19-356,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,32-100,1993,23.9,47,1.96,42,0,2,2,0,1,2,0.08,1,0,0,0,0,1,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,25-093,2000,5.0,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches
Flynn Downes,eng ENG,MF,Southampton,26-081,1999,17.9,25,1.40,21,2,0,1,0,1,2,0.11,1,1,0,0,0,0,Matches
Tommy Doyle,eng ENG,MF,Wolves,23-176,2001,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,Matches
Radu Drăgușin,ro ROU,DF,Tottenham,23-067,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-086,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lewis Dunk,eng ENG,DF,Brighton,33-141,1991,19.1,16,0.84,14,0,0,2,0,0,3,0.16,2,0,0,1,0,0,Matches
Jáder Durán,co COL,FW,Aston Villa,21-119,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches
Ederson,br BRA,GK,Manchester City,31-237,1993,21.0,5,0.24,5,0,0,0,0,0,3,0.14,3,0,0,0,0,0,Matches
George Edmundson,eng ENG,DF,Ipswich Town,27-223,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-085,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,FW,Leicester City,27-085,1998,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Edozie,eng ENG,"DF,FW",Southampton,22-073,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Ronnie Edwards,eng ENG,DF,Southampton,22-014,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-349,2002,21.9,81,3.69,47,17,5,4,8,0,13,0.59,9,2,1,0,1,0,Matches
Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-007,2003,1.8,9,4.94,7,2,0,0,0,0,2,1.10,2,0,0,0,0,0,Matches
Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-091,2006,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-078,2004,4.8,18,3.77,9,3,3,2,0,1,2,0.42,1,1,0,0,0,0,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,21-078,2004,3.3,12,3.69,5,1,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Wataru Endo,jp JPN,MF,Liverpool,32-061,1993,1.6,3,1.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,33-056,1992,9.0,39,4.31,25,13,0,1,0,0,6,0.66,4,2,0,0,0,0,Matches
Romain Esse,eng ENG,MF,Crystal Palace,19-333,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pervis Estupiñán,ec ECU,DF,Brighton,27-080,1998,20.7,43,2.08,26,13,0,2,2,0,4,0.19,3,0,0,0,1,0,Matches
Evanilson,br BRA,FW,Bournemouth,25-187,1999,19.1,53,2.77,33,0,3,8,9,0,7,0.37,1,0,1,1,4,0,Matches
Jonny Evans,nir NIR,DF,Manchester Utd,37-098,1988,3.2,2,0.62,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-286,1998,23.3,112,4.81,58,24,10,11,8,1,9,0.39,8,1,0,0,0,0,Matches
Łukasz Fabiański,pl POL,GK,West Ham,39-358,1985,11.9,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Wout Faes,be BEL,DF,Leicester City,27-008,1998,25.3,12,0.47,10,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-034,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
João Félix,pt POR,"FW,MF",Chelsea,25-152,1999,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0,Matches
Evan Ferguson,ie IRL,FW,West Ham,20-174,2004,1.6,4,2.57,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Evan Ferguson,ie IRL,FW,Brighton,20-174,2004,2.7,4,1.47,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,30-215,1994,28.4,153,5.39,105,29,5,6,6,2,12,0.42,9,2,0,1,0,0,Matches
Mateus Fernandes,pt POR,MF,Southampton,20-275,2004,25.8,61,2.37,36,11,4,6,3,1,6,0.23,4,1,0,0,0,1,Matches
Enzo Fernández,ar ARG,MF,Chelsea,24-084,2001,25.8,121,4.70,93,14,2,4,3,5,13,0.50,10,2,0,1,0,0,Matches
Mark Flekken,nl NED,GK,Brentford,31-302,1993,29.4,7,0.24,4,3,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Phil Foden,eng ENG,"MF,FW",Manchester City,24-318,2000,18.7,84,4.48,56,18,2,5,3,0,9,0.48,5,1,0,3,0,0,Matches
Wesley Fofana,fr FRA,DF,Chelsea,24-115,2000,13.0,15,1.15,12,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Forbs,pt POR,"MF,FW",Wolves,21-023,2004,2.6,5,1.91,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Matches
Fraser Forster,eng ENG,GK,Tottenham,37-025,1988,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus França,br BRA,"MF,DF",Crystal Palace,21-010,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Fraser,sct SCO,"FW,DF",Southampton,31-046,1994,3.4,5,1.47,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niclas Füllkrug,de GER,FW,West Ham,32-061,1993,5.0,14,2.78,12,0,0,2,0,0,1,0.20,0,0,0,1,0,0,Matches
Cody Gakpo,nl NED,FW,Liverpool,25-339,1999,16.3,61,3.74,46,0,7,4,3,1,6,0.37,3,0,2,0,1,0,Matches
Idrissa Gana Gueye,sn SEN,MF,Everton,35-197,1989,27.2,52,1.91,44,0,1,2,3,2,3,0.11,3,0,0,0,0,0,Matches
Andrés García,es ESP,"DF,MF",Aston Villa,22-063,2003,3.5,3,0.87,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-284,2004,20.2,64,3.16,48,1,3,7,5,0,4,0.20,2,0,0,1,1,0,Matches
James Garner,eng ENG,"MF,DF",Everton,24-029,2001,10.7,25,2.34,18,7,0,0,0,0,4,0.37,3,1,0,0,0,0,Matches
Tyrique George,eng ENG,FW,Chelsea,19-066,2006,1.0,6,6.07,5,0,1,0,0,0,1,1.01,1,0,0,0,0,0,Matches
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-074,2000,24.4,96,3.93,82,0,2,6,4,2,16,0.66,12,0,0,3,1,0,Matches
Billy Gilmour,sct SCO,MF,Brighton,23-304,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Godfrey,eng ENG,DF,Ipswich Town,27-086,1998,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
