Player,Nation,Pos,Squad,gca_Age,gca_Born,gca_90s,gca_SCA_SCA,gca_SCA_SCA90,gca_SCA Types_PassLive,gca_SCA Types_PassDead,gca_SCA Types_TO,gca_SCA Types_Sh,gca_SCA Types_Fld,gca_SCA Types_Def,gca_GCA_GCA,gca_GCA_GCA90,gca_GCA Types_PassLive,gca_GCA Types_PassDead,gca_GCA Types_TO,gca_GCA Types_Sh,gca_GCA Types_Fld,gca_GCA Types_Def,gca_Matches
Kyle Walker-Peters,eng ENG,DF,Southampton,27-363,1997,28.4,53,1.86,34,3,7,4,3,2,6,0.21,5,0,1,0,0,0,Matches
Christian Walton,eng ENG,GK,Ipswich Town,29-153,1995,6.0,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-136,1997,29.0,73,2.51,59,4,6,2,0,2,5,0.17,4,0,0,1,0,0,Matches
Danny Ward,wls WAL,GK,Leicester City,31-293,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joel Ward,eng ENG,DF,Crystal Palace,35-164,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,West Ham,30-161,1994,6.5,18,2.79,10,6,0,2,0,0,1,0.15,0,1,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-161,1994,4.4,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0,Matches
Ollie Watkins,eng ENG,FW,Aston Villa,29-102,1995,23.8,45,1.89,30,0,4,6,5,0,10,0.42,6,0,1,1,2,0,Matches
Adam Webster,eng ENG,DF,Brighton,30-097,1995,6.9,10,1.46,8,2,0,0,0,0,3,0.44,2,1,0,0,0,0,Matches
Danny Welbeck,eng ENG,FW,Brighton,34-136,1990,17.7,39,2.20,28,1,3,1,6,0,6,0.34,6,0,0,0,0,0,Matches
Welington,br BRA,"DF,MF",Southampton,24-051,2001,2.3,5,2.15,4,1,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
Timo Werner,de GER,"FW,MF",Tottenham,29-036,1996,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-313,2004,11.2,50,4.46,41,7,0,1,0,1,4,0.36,4,0,0,0,0,0,Matches
Ben White,eng ENG,DF,Arsenal,27-185,1997,8.5,10,1.17,10,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Mats Wieffer,nl NED,MF,Brighton,25-146,1999,5.7,20,3.50,19,0,0,1,0,0,2,0.35,2,0,0,0,0,0,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,23-363,2001,21.8,39,1.79,31,3,0,4,1,0,5,0.23,4,1,0,0,0,0,Matches
Willian,br BRA,"MF,FW",Fulham,36-245,1988,1.7,8,4.65,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-234,1999,9.4,37,3.95,31,0,3,2,1,0,4,0.43,4,0,0,0,0,0,Matches
Callum Wilson,eng ENG,FW,Newcastle Utd,33-043,1992,2.3,6,2.61,3,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
Harry Wilson,wls WAL,"FW,MF",Fulham,28-020,1997,9.3,30,3.22,21,6,0,1,2,0,3,0.32,2,0,0,0,1,0,Matches
Harry Winks,eng ENG,MF,Leicester City,29-068,1996,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-219,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yoane Wissa,cd COD,FW,Brentford,28-220,1996,25.4,55,2.16,35,0,3,7,9,1,7,0.28,6,0,0,0,1,0,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,33-125,1991,26.0,36,1.38,28,0,2,4,0,2,5,0.19,4,0,0,0,0,1,Matches
Nathan Wood-Gordon,eng ENG,DF,Southampton,22-315,2002,6.9,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-172,1998,11.2,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-041,2004,10.5,17,1.63,15,0,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-141,1997,19.2,35,1.82,24,0,1,6,2,2,3,0.16,2,0,0,1,0,0,Matches
Leny Yoro,fr FRA,DF,Manchester Utd,19-149,2005,9.7,4,0.41,1,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Ashley Young,eng ENG,"DF,FW",Everton,39-276,1985,17.6,36,2.04,27,6,0,1,1,1,6,0.34,4,0,0,1,0,1,Matches
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-222,2002,28.1,26,0.93,23,1,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-117,1996,3.3,9,2.71,7,0,0,2,0,0,1,0.30,1,0,0,0,0,0,Matches
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-324,2001,15.0,29,1.94,26,0,0,2,1,0,3,0.20,1,0,0,1,1,0,Matches
Martin Ødegaard,no NOR,MF,Arsenal,26-115,1998,20.4,92,4.51,75,10,2,4,1,0,10,0.49,9,1,0,0,0,0,Matches
